case,hour_of_year,zone_idx,exterior_temp_c,expected_load_w,rel_err
Case650FF,4730,0,20.515880129061898,0.0,0.0
Case650FF,4730,1,20.515880129061898,0.0,0.0
Case650FF,4730,2,20.515880129061898,0.0,0.0
Case650FF,4730,3,20.515880129061898,0.0,0.0
Case650FF,4730,4,20.515880129061898,0.0,0.0
Case650FF,4818,0,10.909830056250527,47.97737366153019,2.8534021071303087e-08
Case650FF,4818,1,10.909830056250527,47.97737366153019,2.8534021071303087e-08
Case650FF,4818,2,10.909830056250527,47.97737366153019,2.8534021071303087e-08
Case650FF,4818,3,10.909830056250527,47.97737366153019,2.8534021071303087e-08
Case650FF,4818,4,10.909830056250527,47.97737366153019,2.8534021071303087e-08
Case650FF,4905,0,20.565396842107695,0.0,0.0
Case650FF,4905,1,20.565396842107695,0.0,0.0
Case650FF,4905,2,20.565396842107695,0.0,0.0
Case650FF,4905,3,20.565396842107695,0.0,0.0
Case650FF,4905,4,20.565396842107695,0.0,0.0
Case650FF,4993,0,17.296419388733057,9.157857512358833,4.177162920621443e-08
Case650FF,4993,1,17.296419388733057,9.157857512358833,4.177162920621443e-08
Case650FF,4993,2,17.296419388733057,9.157857512358833,4.177162920621443e-08
Case650FF,4993,3,17.296419388733057,9.157857512358833,4.177162920621443e-08
Case650FF,4993,4,17.296419388733057,9.157857512358833,4.177162920621443e-08
Case650FF,5080,0,9.991339937094612,43.24447897023127,2.688956828491523e-08
Case650FF,5080,1,9.991339937094612,43.24447897023127,2.688956828491523e-08
Case650FF,5080,2,9.991339937094612,43.24447897023127,2.688956828491523e-08
Case650FF,5080,3,9.991339937094612,43.24447897023127,2.688956828491523e-08
Case650FF,5080,4,9.991339937094612,43.24447897023127,2.688956828491523e-08
Case650FF,5168,0,19.840307099264585,0.0,0.0
Case650FF,5168,1,19.840307099264585,0.0,0.0
Case650FF,5168,2,19.840307099264585,0.0,0.0
Case650FF,5168,3,19.840307099264585,0.0,0.0
Case650FF,5168,4,19.840307099264585,0.0,0.0
Case650FF,5256,0,14.122147477075266,42.479814991281614,3.4027595555918e-08
Case650FF,5256,1,14.122147477075266,42.479814991281614,3.4027595555918e-08
Case650FF,5256,2,14.122147477075266,42.479814991281614,3.4027595555918e-08
Case650FF,5256,3,14.122147477075266,42.479814991281614,3.4027595555918e-08
Case650FF,5256,4,14.122147477075266,42.479814991281614,3.4027595555918e-08
Case650FF,5343,0,9.386435949047357,38.74531558131638,7.628940494795306e-10
Case650FF,5343,1,9.386435949047357,38.74531558131638,7.628940494795306e-10
Case650FF,5343,2,9.386435949047357,38.74531558131638,7.628940494795306e-10
Case650FF,5343,3,9.386435949047357,38.74531558131638,7.628940494795306e-10
Case650FF,5343,4,9.386435949047357,38.74531558131638,7.628940494795306e-10
Case650FF,5431,0,18.951129686907844,0.0,0.0
Case650FF,5431,1,18.951129686907844,0.0,0.0
Case650FF,5431,2,18.951129686907844,0.0,0.0
Case650FF,5431,3,18.951129686907844,0.0,0.0
Case650FF,5431,4,18.951129686907844,0.0,0.0
Case650FF,5518,0,9.714242904023335,41.31162303708077,1.010494951265874e-08
Case650FF,5518,1,9.714242904023335,41.31162303708077,1.010494951265874e-08
Case650FF,5518,2,9.714242904023335,41.31162303708077,1.010494951265874e-08
Case650FF,5518,3,9.714242904023335,41.31162303708077,1.010494951265874e-08
Case650FF,5518,4,9.714242904023335,41.31162303708077,1.010494951265874e-08
Case650FF,5606,0,9.29669668068113,37.992201705864105,2.771423899149614e-08
Case650FF,5606,1,9.29669668068113,37.992201705864105,2.771423899149614e-08
